SN,Name,brand,Production Year, Price , price_old , Price_new ,Color,Type
50,2007 BMW M6,BMW,2007,"$49,995                            
+ tax & lic","$49,995 ","49,995.00",Black,Convertible
51,2023 Jeep Wrangler,Jeep,2023,"$64,714                            
+ tax & lic","$64,714 ","64,714.00",Silver Zynith,Convertible
52,2019 Mazda Miata MX-5,Mazda,2019,"$38,888                            
+ tax & lic","$38,888 ","38,888.00",White,Convertible
53,2022 Ford Bronco,Ford,2022,"$75,178                            
+ tax & lic","$75,178 ","75,178.00",SHADOW BLACK,Convertible
54,2017 Mercedes-Benz SLC,Mercedes-Benz,2017,"$55,798                            
+ tax & lic","$55,798 ","55,798.00",Red,Convertible
55,2017 Ford Mustang,Ford,2017,"$45,800                            
+ tax & lic","$45,800 ","45,800.00",Red,Convertible
56,2006 Ferrari F430,Ferrari,2006,"$174,800                            
+ tax & lic","$174,800 ","174,800.00",Red,Convertible
57,2018 Ford Mustang,Ford,2018,"$48,989                            
+ tax & lic","$48,989 ","48,989.00",ORANGE FURY METALLIC TRI-COAT,Convertible
58,2008 Volkswagen New Beetle,Volkswagen,2008,"$12,900                            
+ tax & lic","$12,900 ","12,900.00",Beige,Convertible
59,2005 Porsche Boxster,Porsche,2005,"$25,991                            
+ tax & lic","$25,991 ","25,991.00",Blue,Convertible
60,2010 Jeep Wrangler,Jeep,2010,"$19,400                            
+ tax & lic","$19,400 ","19,400.00",Black,Convertible
61,2023 Jeep Wrangler,Jeep,2023,"$71,459                            
+ tax & lic","$71,459 ","71,459.00",High Velocity,Convertible
62,2013 Ford Mustang,Ford,2013,"$13,000                            
+ tax & lic","$13,000 ","13,000.00",Black,Convertible
63,2022 Audi R8,Audi,2022,"$264,990                            
+ tax & lic","$264,990 ","264,990.00",Suzuka Gray Metallic,Convertible
64,2020 Ford Mustang,Ford,2020,"$42,988                            
+ tax & lic","$42,988 ","42,988.00",Dark Blue,Convertible
65,2019 Mercedes-Benz C-Class,Mercedes-Benz,2019,"$64,800                            
+ tax & lic","$64,800 ","64,800.00",Polar White,Convertible
66,2018 BMW M4,BMW,2018,"$72,800                            
+ tax & lic","$72,800 ","72,800.00",Tanzanite Blue Metallic,Convertible
67,2006 Chrysler PT Cruiser,Chrysler,2006,"$8,988                            
+ tax & lic","$8,988 ","8,988.00",,Convertible
68,2018 BMW 4 Series,BMW,2018,"$46,910                            
+ tax & lic","$46,910 ","46,910.00",Glacier Silver Metallic,Convertible
69,2011 Maserati GranTurismo,Maserati,2011,"$59,910                            
+ tax & lic","$59,910 ","59,910.00",Black,Convertible
70,2011 Audi A5,Audi,2011,"$13,995                            
+ tax & lic","$13,995 ","13,995.00",Blue,Convertible
71,2007 Mercedes-Benz CLK,Mercedes-Benz,2007,"$18,988                            
+ tax & lic","$18,988 ","18,988.00",Gray,Convertible
72,1990 Chevrolet Corvette,Chevrolet,1990,"$13,999                            
+ tax & lic","$13,999 ","13,999.00",Red,Convertible
73,2014 Jeep Wrangler,Jeep,2014,"$23,800                            
+ tax & lic","$23,800 ","23,800.00",Bright White Clearcoat,Convertible
74,2018 Jeep Wrangler,Jeep,2018,"$33,800                            
+ tax & lic","$33,800 ","33,800.00",FIRECRACKER RED,Convertible
75,2001 Chevrolet Corvette,Chevrolet,2001,"$20,400                            
+ tax & lic","$20,400 ","20,400.00",Speedway White,Convertible
